ASV_ID	10m_0_mV	10m_200_mV	10m_400_mV	10m_600_mV	10m_800_mV	10m_Cont	20_5m_0_mV	20_5m_200_mV	20_5m_400_mV	20_5m_600_mV	20_5m_800_mV	20_5m_Cont	35m_0_mV	35m_200_mV	35m_400_mV	35m_600_mV	35m_Cont
ASV936	46	51	62	0	0	631	23	0	0	0	0	0	0	0	0	0	0
ASV937	136	187	108	160	183	68	46	0	0	0	0	0	0	0	0	0	0
ASV938	196	128	0	53	0	470	0	0	0	0	0	0	0	0	0	0	0
ASV939	156	150	124	100	157	61	70	0	0	83	0	0	0	0	0	0	0
ASV940	0	0	0	0	0	0	0	360	307	128	214	0	0	0	0	0	117
ASV941	0	0	0	35	0	0	0	10	0	0	0	0	0	0	1391	0	0
ASV942	60	67	51	49	9	6	88	0	123	119	75	447	0	0	0	0	0
ASV943	0	0	0	13	9	0	0	53	232	629	251	0	0	0	0	0	0
ASV944	0	0	0	0	0	0	25	8	0	6	15	0	0	0	0	0	794
ASV945	0	0	0	0	0	0	83	45	73	19	401	0	0	0	640	0	0
ASV946	0	146	375	153	158	0	0	0	0	0	0	0	0	0	0	0	0
ASV947	0	0	279	160	437	0	0	0	0	0	0	0	0	0	0	0	0
ASV948	0	0	0	0	0	0	0	0	12	137	324	0	0	0	512	0	190
ASV949	0	0	0	0	0	0	0	0	0	0	0	0	1473	0	0	0	0
ASV950	0	0	22	0	0	0	239	283	223	265	10	0	0	0	0	0	0
ASV951	337	161	0	0	33	317	0	0	0	0	0	0	0	0	0	0	0
ASV952	150	195	126	112	95	107	60	0	0	0	0	0	0	0	0	0	0
ASV953	0	0	0	0	0	0	0	0	40	0	12	0	0	117	413	65	90
ASV954	499	120	0	56	0	196	0	0	0	0	0	0	0	0	0	0	0
ASV955	266	173	107	95	92	81	42	0	0	0	0	0	0	0	0	0	0
ASV956	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	95	248
ASV957	35	65	106	277	367	29	0	0	0	0	0	0	0	0	0	0	0
ASV958	332	154	93	84	140	0	69	0	0	0	0	0	0	0	0	0	0
ASV959	133	193	101	116	165	80	60	0	0	0	0	0	0	0	0	0	0
ASV960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0
ASV961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0
ASV962	92	0	65	0	0	600	0	33	0	0	0	0	0	0	0	0	0
ASV963	86	23	73	0	12	590	0	0	0	0	0	0	0	0	0	0	0
ASV964	0	0	0	0	0	0	70	119	225	0	0	584	0	0	0	0	111
ASV965	0	0	0	0	0	0	0	0	0	0	0	0	0	1143	9	0	0
ASV966	0	0	0	0	0	0	0	0	0	0	0	0	0	1143	0	0	0
ASV967	0	0	0	0	0	0	67	0	275	59	45	47	0	0	803	0	0
ASV968	0	0	0	0	0	0	109	82	212	144	64	0	0	0	0	0	347
ASV969	29	143	124	147	131	231	0	0	0	0	0	0	0	0	0	0	0
ASV970	0	0	0	0	0	0	6	0	130	0	15	0	0	0	0	0	701
ASV971	0	101	28	53	45	546	0	0	0	0	0	0	0	0	0	0	0
ASV972	0	0	49	0	70	0	0	0	103	0	0	908	0	0	0	0	0
ASV973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0
ASV974	0	0	0	0	0	0	138	133	81	372	212	80	0	0	0	0	18
ASV975	176	64	56	40	44	408	0	0	0	0	0	0	0	0	0	0	0
ASV976	0	0	0	0	0	0	0	0	27	0	0	0	0	795	162	0	118
